x,y,z
46,449,a
46,446,a
46,442,a
46,438,a
46,433,a
46,429,a
45,425,a
45,421,a
45,417,a
44,409,a
44,404,a
44,400,a
44,395,a
44,391,a
44,388,a
44,383,a
44,379,a
44,374,a
44,367,a
44,361,a
44,354,a
44,343,a
44,334,a
44,327,a
44,320,a
44,315,a
44,310,a
44,305,a
44,300,a
43,296,a
43,292,a
43,289,a
43,286,a
43,282,a
43,279,a
43,276,a
43,273,a
43,270,a
43,268,a
43,266,a
43,264,a
43,262,a
43,260,a
43,258,a
43,257,a
43,255,a
43,253,a
43,252,a
43,251,a
48,451,a
51,451,a
55,451,a
60,452,a
68,452,a
72,452,a
74,452,a
76,452,a
78,452,a
81,451,a
85,449,a
90,447,a
94,444,a
98,441,a
103,438,a
104,434,a
108,430,a
110,427,a
111,424,a
113,422,a
114,418,a
116,415,a
116,412,a
116,408,a
116,403,a
116,402,a
116,399,a
116,396,a
115,392,a
115,388,a
114,384,a
114,382,a
113,380,a
112,376,a
110,374,a
108,372,a
106,369,a
105,366,a
102,363,a
100,361,a
99,360,a
97,358,a
95,357,a
94,357,a
91,356,a
88,356,a
86,355,a
83,355,a
81,354,a
79,354,a
76,353,a
74,353,a
71,352,a
68,351,a
65,351,a
63,351,a
60,350,a
58,350,a
56,350,a
54,349,a
53,349,a
51,349,a
50,349,a
48,349,a
49,349,a
56,349,a
62,350,a
68,350,a
74,350,a
79,350,a
83,350,a
89,350,a
94,349,a
97,349,a
100,348,a
104,347,a
107,346,a
112,345,a
114,343,a
116,342,a
117,341,a
119,339,a
120,338,a
121,337,a
122,336,a
123,335,a
124,333,a
125,332,a
125,330,a
125,325,a
125,321,a
125,317,a
125,314,a
124,311,a
124,308,a
123,305,a
122,303,a
121,300,a
120,297,a
118,294,a
116,290,a
114,287,a
112,285,a
110,282,a
107,279,a
103,276,a
100,274,a
96,272,a
93,270,a
90,268,a
88,267,a
85,265,a
82,263,a
75,261,a
72,260,a
70,259,a
68,258,a
68,257,a
66,257,a
64,257,a
61,257,a
59,256,a
56,256,a
54,256,a
52,256,a
48,256,a
43,255,a
40,255,a
39,254,a
192,346,a
191,346,a
189,347,a
187,347,a
185,347,a
184,347,a
182,347,a
179,347,a
178,347,a
175,346,a
171,344,a
169,342,a
166,340,a
163,337,a
160,333,a
155,327,a
153,322,a
151,318,a
149,314,a
147,309,a
146,304,a
143,300,a
142,296,a
140,292,a
137,290,a
136,287,a
136,284,a
135,281,a
134,279,a
134,275,a
134,274,a
134,272,a
134,271,a
134,270,a
134,268,a
135,267,a
136,265,a
138,264,a
139,264,a
140,263,a
142,263,a
143,263,a
145,262,a
147,262,a
149,262,a
151,262,a
153,262,a
156,262,a
158,262,a
161,263,a
163,264,a
165,264,a
167,265,a
170,266,a
171,267,a
173,269,a
175,271,a
176,272,a
177,274,a
179,276,a
181,281,a
181,282,a
182,285,a
184,288,a
186,292,a
187,294,a
188,297,a
189,300,a
191,303,a
191,306,a
193,309,a
193,311,a
193,314,a
194,317,a
195,319,a
196,323,a
196,326,a
196,330,a
197,333,a
197,335,a
197,338,a
197,339,a
197,341,a
197,343,a
197,344,a
197,345,a
197,346,a
197,347,a
197,345,a
197,343,a
197,340,a
197,336,a
197,332,a
197,329,a
197,325,a
197,322,a
197,319,a
197,315,a
197,313,a
197,309,a
197,306,a
197,301,a
197,298,a
197,294,a
196,290,a
196,286,a
196,283,a
196,281,a
196,279,a
196,278,a
196,277,a
196,276,a
196,275,a
196,274,a
196,272,a
196,271,a
197,270,a
197,269,a
197,268,a
197,266,a
197,265,a
227,352,a
227,350,a
228,347,a
228,340,a
228,335,a
228,330,a
228,325,a
228,320,a
227,315,a
227,310,a
227,305,a
226,302,a
226,299,a
226,296,a
226,294,a
226,290,a
226,287,a
225,283,a
225,281,a
225,278,a
224,276,a
224,275,a
224,273,a
224,272,a
224,271,a
224,272,a
224,274,a
224,278,a
223,282,a
223,286,a
223,289,a
223,293,a
223,297,a
223,301,a
223,304,a
223,306,a
223,308,a
223,310,a
223,312,a
223,314,a
223,317,a
224,319,a
224,321,a
224,324,a
224,328,a
224,330,a
224,333,a
225,336,a
225,339,a
225,342,a
225,347,a
225,348,a
226,351,a
227,352,a
229,355,a
232,356,a
233,358,a
235,358,a
236,358,a
238,358,a
241,358,a
242,358,a
244,358,a
246,358,a
247,356,a
251,353,a
252,351,a
256,347,a
257,344,a
258,341,a
259,339,a
260,337,a
260,335,a
261,333,a
261,330,a
261,327,a
261,325,a
261,323,a
261,320,a
261,318,a
260,316,a
260,313,a
260,311,a
260,309,a
260,306,a
259,304,a
259,302,a
259,299,a
258,296,a
258,293,a
258,291,a
258,289,a
258,288,a
258,287,a
258,285,a
258,284,a
258,283,a
257,285,a
256,289,a
256,292,a
256,297,a
256,300,a
256,304,a
256,307,a
256,310,a
257,312,a
257,315,a
258,317,a
259,320,a
259,322,a
260,326,a
260,327,a
260,330,a
261,332,a
262,334,a
263,337,a
264,339,a
266,341,a
266,343,a
268,345,a
269,348,a
271,349,a
271,351,a
272,354,a
274,355,a
275,358,a
276,359,a
277,360,a
279,361,a
280,361,a
281,361,a
283,361,a
285,362,a
286,363,a
288,363,a
289,363,a
291,361,a
292,360,a
294,358,a
295,356,a
296,354,a
297,351,a
298,349,a
299,347,a
299,345,a
300,342,a
301,339,a
301,336,a
300,333,a
300,330,a
299,327,a
298,325,a
297,322,a
296,320,a
296,317,a
295,315,a
295,313,a
294,311,a
293,308,a
293,306,a
293,303,a
292,300,a
292,298,a
292,296,a
292,294,a
292,292,a
292,291,a
292,290,a
292,289,a
292,287,a
292,285,a
292,284,a
292,282,a
292,281,a
292,280,a
292,279,a
292,278,a
291,278,a
290,278,a
372,330,a
370,330,a
369,330,a
366,330,a
364,330,a
361,330,a
358,330,a
356,330,a
353,330,a
351,329,a
349,328,a
348,328,a
347,327,a
346,326,a
344,325,a
342,324,a
341,322,a
340,320,a
339,318,a
337,315,a
335,313,a
334,308,a
333,306,a
332,303,a
332,300,a
330,297,a
330,294,a
330,291,a
329,286,a
