x,y,z
51,442,a
54,442,a
58,442,a
63,442,a
65,442,a
67,442,a
68,442,a
70,442,a
71,442,a
72,443,a
74,443,a
77,443,a
80,443,a
84,443,a
86,443,a
88,443,a
89,443,a
90,443,a
92,443,a
95,443,a
98,444,a
99,444,a
100,444,a
101,444,a
102,444,a
103,444,a
104,444,a
105,445,a
107,445,a
109,446,a
110,446,a
111,446,a
112,446,a
113,446,a
114,446,a
115,445,a
116,445,a
117,445,a
118,445,a
119,445,a
120,445,a
121,445,a
122,445,a
123,445,a
124,445,a
125,445,a
126,445,a
127,445,a
128,445,a
130,445,a
132,445,a
133,445,a
134,445,a
136,445,a
138,445,a
141,445,a
142,445,a
143,445,a
143,444,a
146,443,a
147,443,a
148,443,a
149,443,a
151,443,a
107,441,a
107,439,a
107,437,a
107,433,a
107,429,a
107,425,a
107,421,a
107,414,a
107,410,a
107,406,a
107,401,a
107,397,a
108,393,a
108,388,a
108,383,a
109,378,a
109,373,a
109,368,a
109,363,a
108,360,a
107,357,a
107,354,a
106,351,a
106,348,a
104,346,a
102,343,a
101,342,a
100,340,a
98,339,a
97,337,a
92,335,a
90,334,a
88,333,a
86,333,a
84,333,a
82,333,a
80,333,a
79,333,a
77,334,a
75,334,a
73,335,a
71,336,a
69,337,a
68,337,a
66,339,a
65,340,a
63,342,a
62,345,a
60,347,a
60,349,a
59,350,a
59,352,a
58,354,a
57,356,a
57,358,a
56,359,a
56,360,a
56,361,a
56,362,a
55,363,a
55,364,a
154,376,a
154,375,a
154,374,a
154,372,a
154,368,a
154,361,a
154,357,a
154,353,a
154,350,a
154,348,a
154,346,a
154,345,a
154,344,a
154,342,a
154,341,a
154,340,a
150,397,a
151,396,a
154,395,a
157,395,a
159,395,a
160,395,a
160,396,a
160,398,a
160,400,a
160,402,a
159,402,a
158,402,a
157,402,a
156,402,a
155,401,a
155,400,a
155,399,a
184,382,a
184,380,a
185,378,a
185,374,a
185,368,a
185,363,a
185,356,a
185,354,a
187,349,a
187,346,a
187,344,a
187,341,a
187,340,a
187,339,a
187,338,a
187,337,a
187,336,a
187,335,a
187,334,a
187,333,a
187,334,a
187,335,a
187,339,a
188,342,a
188,346,a
188,349,a
188,354,a
188,359,a
188,365,a
188,370,a
188,375,a
188,378,a
188,381,a
188,382,a
188,387,a
190,389,a
190,390,a
193,390,a
196,390,a
200,390,a
204,390,a
209,389,a
215,387,a
218,386,a
220,382,a
222,379,a
223,375,a
223,372,a
223,369,a
224,366,a
224,363,a
224,360,a
224,358,a
224,356,a
224,353,a
224,352,a
224,351,a
224,350,a
224,349,a
270,384,a
269,384,a
267,384,a
265,384,a
261,382,a
